"Variable","Equation","Han and Cheng","Rio markers","BERT Adapt."
"CPIAPublicAdm","Allocation",1.631,1.63,1.578
"CPIAbudget","Allocation",1.538,1.545,1.55
"EIA","Allocation",1.249,1.245,1.389
"InvestAgree","Allocation",1.335,1.298,1.473
"MDBDummy","Allocation",1.075,1.049,1.065
"ProviderGDPtot","Allocation",3.758,3.513,3.391
"ProviderPop","Allocation",3.688,3.323,3.376
"Providerdebt","Allocation",1.701,1.765,2.08
"ProviderfisB","Allocation",1.782,1.76,2.106
"RecipientGDPtot","Allocation",1.947,1.846,2.165
"RecipientPop","Allocation",1.561,1.517,1.548
"Recipientdebt","Allocation",1.26,1.265,1.474
"RecipientfisB","Allocation",1.34,1.348,1.48
"WRI","Allocation",1.147,1.13,1.186
"colony","Allocation",1.414,1.327,1.648
"comlang","Allocation",1.463,1.373,1.63
"comrelig","Allocation",1.352,1.294,1.333
"distw","Allocation",1.281,1.265,1.359
"wto","Allocation",1.169,1.15,1.298
"CPIAPublicAdm","Selection",1.985,1.948,1.811
"CPIAbudget","Selection",1.879,1.823,1.591
"EIA","Selection",1.164,1.18,1.298
"InvestAgree","Selection",1.272,1.282,1.367
"MDBDummy","Selection",1.062,1.096,1.151
"NDC15","Selection",1.011,1.014,1.016
"NDC16","Selection",1.015,1.014,1.025
"NDC17","Selection",1.016,1.059,1.137
"NDC18","Selection",1.023,1.031,1.072
"NDCActOnly","Selection",1.166,1.214,1.484
"NDCnonGHG","Selection",1.398,1.314,1.289
"ProviderGDPtot","Selection",2.275,2.355,3.594
"ProviderPop","Selection",2.129,2.193,3.388
"RecipientGDPtot","Selection",1.761,1.772,1.922
"RecipientPop","Selection",1.414,1.455,1.567
"WRI","Selection",1.401,1.352,1.244
"colony","Selection",1.191,1.205,1.428
"comlang","Selection",1.203,1.22,1.524
"comrelig","Selection",1.247,1.246,1.316
"distw","Selection",1.227,1.23,1.358
"wto","Selection",1.187,1.147,1.163
